gcode file:,C:/Users/moran/PycharmProjects/pylen/gcode\CE3_GB404088200Wx2.gcode
Layer Count:,1000
Total Filament[mm]:,35630.1
GCode Flavor:,Marlin
Start up Filament Usage[mm],30.00
Layer[-],length[mm]
1,17957
2,18008
3,18061
4,18116
5,18139
6,18163
7,18187
8,18210
9,18234
10,18258
11,18283
12,18307
13,18331
14,18355
15,18379
16,18404
17,18428
18,18452
19,18476
20,18501
21,18525
22,18549
23,18574
24,18598
25,18623
26,18648
27,18700
28,18751
29,18802
30,18852
31,18869
32,18886
33,18903
34,18920
35,18937
36,18954
37,18970
38,18987
39,19005
40,19022
41,19039
42,19056
43,19073
44,19090
45,19108
46,19125
47,19142
48,19159
49,19176
50,19193
51,19211
52,19228
53,19245
54,19263
55,19280
56,19297
57,19313
58,19330
59,19347
60,19364
61,19381
62,19398
63,19414
64,19431
65,19448
66,19465
67,19482
68,19499
69,19516
70,19533
71,19550
72,19567
73,19584
74,19601
75,19618
76,19635
77,19652
78,19669
79,19686
80,19703
81,19720
82,19737
83,19755
84,19772
85,19789
86,19806
87,19823
88,19840
89,19858
90,19875
91,19892
92,19909
93,19926
94,19944
95,19961
96,19978
97,19996
98,20013
99,20029
100,20046
101,20063
102,20080
103,20097
104,20114
105,20130
106,20147
107,20164
108,20181
109,20203
110,20224
111,20246
112,20268
113,20284
114,20301
115,20317
116,20333
117,20350
118,20366
119,20383
120,20399
121,20415
122,20432
123,20448
124,20464
125,20481
126,20497
127,20513
128,20530
129,20546
130,20563
131,20579
132,20596
133,20612
134,20628
135,20645
136,20661
137,20678
138,20700
139,20721
140,20743
141,20765
142,20782
143,20798
144,20815
145,20832
146,20849
147,20866
148,20882
149,20899
150,20916
151,20933
152,20950
153,20967
154,20984
155,21001
156,21018
157,21035
158,21052
159,21069
160,21086
161,21103
162,21120
163,21137
164,21154
165,21171
166,21188
167,21206
168,21223
169,21240
170,21257
171,21274
172,21292
173,21309
174,21326
175,21343
176,21360
177,21377
178,21395
179,21412
180,21429
181,21447
182,21464
183,21481
184,21498
185,21514
186,21531
187,21548
188,21565
189,21582
190,21599
191,21615
192,21632
193,21649
194,21666
195,21683
196,21700
197,21717
198,21734
199,21751
200,21768
201,21785
202,21802
203,21819
204,21836
205,21853
206,21870
207,21887
208,21904
209,21921
210,21939
211,21956
212,21973
213,21990
214,22007
215,22025
216,22042
217,22059
218,22076
219,22093
220,22111
221,22128
222,22145
223,22162
224,22180
225,22197
226,22214
227,22230
228,22247
229,22264
230,22281
231,22298
232,22315
233,22331
234,22348
235,22365
236,22382
237,22399
238,22416
239,22433
240,22450
241,22467
242,22484
243,22501
244,22518
245,22535
246,22552
247,22569
248,22586
249,22603
250,22620
251,22637
252,22654
253,22672
254,22689
255,22706
256,22723
257,22740
258,22758
259,22775
260,22792
261,22809
262,22826
263,22844
264,22861
265,22878
266,22895
267,22913
268,22930
269,22946
270,22963
271,22980
272,22997
273,23014
274,23031
275,23047
276,23064
277,23081
278,23098
279,23115
280,23132
281,23149
282,23166
283,23183
284,23200
285,23217
286,23234
287,23251
288,23268
289,23285
290,23302
291,23319
292,23336
