gcode file:,C:/Users/moran/PycharmProjects/pylen_git/gcode\CE3_sophia1.gcode
Layer Count:,50
Total Filament[in]:,217.039
GCode Flavor:,Marlin
Start up Filament Usage[in],1.181
Layer[-],length[in]
1,10.813
2,20.433
3,30.053
4,39.674
5,42.611
6,45.547
7,48.481
8,51.414
9,54.351
10,57.291
11,60.233
12,63.174
13,66.116
14,69.058
15,71.999
16,74.939
17,77.875
18,80.806
19,83.734
20,86.659
21,89.578
22,98.759
23,107.940
24,117.118
25,126.287
26,130.475
27,134.652
28,138.827
29,143.003
30,147.182
31,151.361
32,155.543
33,159.727
34,163.915
35,168.112
36,172.310
37,176.571
38,180.832
39,185.097
40,189.366
41,191.935
42,194.505
43,197.080
44,199.653
45,202.221
46,204.787
47,207.851
48,210.913
49,213.977
50,217.039
